# GLAD-AZI - global azimuthal anisotropy model
# lon lat amplitude azimuth
-180.0 90.0 0.002623 6.909982
-179.0 90.0 0.002623 6.909982
-178.0 90.0 0.002623 6.909982
-177.0 90.0 0.002623 6.909982
-176.0 90.0 0.002623 6.909982
-175.0 90.0 0.002623 6.909982
-174.0 90.0 0.002623 6.909982
-173.0 90.0 0.002623 6.909982
-172.0 90.0 0.002623 6.909982
-171.0 90.0 0.002623 6.909982
-170.0 90.0 0.002623 6.909982
-169.0 90.0 0.002623 6.909982
-168.0 90.0 0.002623 6.909982
-167.0 90.0 0.002623 6.909982
-166.0 90.0 0.002623 6.909982
-165.0 90.0 0.002623 6.909982
-164.0 90.0 0.002623 6.909982
-163.0 90.0 0.002623 6.909982
-162.0 90.0 0.002623 6.909982
-161.0 90.0 0.002623 6.909982
-160.0 90.0 0.002623 6.909982
-159.0 90.0 0.002623 6.909982
-158.0 90.0 0.002623 6.909982
-157.0 90.0 0.002623 6.909982
-156.0 90.0 0.002623 6.909982
-155.0 90.0 0.002623 6.909982
-154.0 90.0 0.002623 6.909982
-153.0 90.0 0.002623 6.909982
-152.0 90.0 0.002623 6.909982
-151.0 90.0 0.002623 6.909982
-150.0 90.0 0.002623 6.909982
-149.0 90.0 0.002623 6.909982
-148.0 90.0 0.002623 6.909982
-147.0 90.0 0.002623 6.909982
-146.0 90.0 0.002623 6.909982
-145.0 90.0 0.002623 6.909982
-144.0 90.0 0.002623 6.909982
-143.0 90.0 0.002623 6.909982
-142.0 90.0 0.002623 6.909982
-141.0 90.0 0.002623 6.909982
-140.0 90.0 0.002623 6.909982
-139.0 90.0 0.002623 6.909982
-138.0 90.0 0.002623 6.909982
-137.0 90.0 0.002623 6.909982
-136.0 90.0 0.002623 6.909982
-135.0 90.0 0.002623 6.909982
-134.0 90.0 0.002623 6.909982
-133.0 90.0 0.002623 6.909982
-132.0 90.0 0.002623 6.909982
-131.0 90.0 0.002623 6.909982
-130.0 90.0 0.002623 6.909982
-129.0 90.0 0.002623 6.909982
-128.0 90.0 0.002623 6.909982
-127.0 90.0 0.002623 6.909982
-126.0 90.0 0.002623 6.909982
-125.0 90.0 0.002623 6.909982
-124.0 90.0 0.002623 6.909982
-123.0 90.0 0.002623 6.909982
-122.0 90.0 0.002623 6.909982
-121.0 90.0 0.002623 6.909982
-120.0 90.0 0.002623 6.909982
-119.0 90.0 0.002623 6.909982
-118.0 90.0 0.002623 6.909982
-117.0 90.0 0.002623 6.909982
-116.0 90.0 0.002623 6.909982
-115.0 90.0 0.002623 6.909982
-114.0 90.0 0.002623 6.909982
-113.0 90.0 0.002623 6.909982
-112.0 90.0 0.002623 6.909982
-111.0 90.0 0.002623 6.909982
-110.0 90.0 0.002623 6.909982
-109.0 90.0 0.002623 6.909982
-108.0 90.0 0.002623 6.909982
-107.0 90.0 0.002623 6.909982
-106.0 90.0 0.002623 6.909982
-105.0 90.0 0.002623 6.909982
-104.0 90.0 0.002623 6.909982
-103.0 90.0 0.002623 6.909982
-102.0 90.0 0.002623 6.909982
-101.0 90.0 0.002623 6.909982
-100.0 90.0 0.002623 6.909982
-99.0 90.0 0.002623 6.909982
-98.0 90.0 0.002623 6.909982
-97.0 90.0 0.002623 6.909982
-96.0 90.0 0.002623 6.909982
